#,긴급(여기에 O표시),발생시각KST,나이h,분류,cross,rc,grade,속보태그,breaking,제목
1,,06-22 14:32,0.3,정치,13,1,,,,민정수석 한찬식-홍보 성기홍… 靑 3실장 유임 속 ‘중폭’ 개편
2,,06-22 14:17,0.5,,4,1,3,Y,Y,"[속보] 법원 ""박성재, 국헌문란 목적·위법성 인식 있었다"""
3,,06-22 13:47,1.0,정치,13,3,2,,,법원 “이화영 ‘연어 술파티’는 신빙성 부족”…대북 지원은 공소기각
4,,06-22 13:47,1.0,정치,7,2,1,,,첫 남녀통합 순경 선발에 女합격자 ‘껑충’…“국민 우려 없도록 지속 점검”
5,,06-22 13:47,1.0,,5,3,3,,Y,"“모스크바 향하던 드론 59대 격추”…러, 공항 4곳 한때 운영 중단"
6,,06-22 13:03,1.8,국제,15,3,2,,,"호르무즈 불확실성에…물류 운임, 종전 합의 전보다 더 올라"
7,,06-22 12:32,2.3,정치,15,3,2,,,‘연어 술파티 위증’ 유죄에 野 “대통령 옹호 위한 대국민 사기극…공소취소 포기해야”
8,,06-22 12:32,2.3,사회,6,4,2,,Y,"보이스피싱에 5000만원 잃은 엄마와 아들, 숨진채 발견"
9,,06-22 12:18,2.5,,5,4,2,,,"경찰청장 대행 “잠실 투표함, 사회적 합의 이뤄져야 사안 해결”"
10,,06-22 12:03,2.8,,7,3,2,,,"공정위, 총수 일가 회사에 아파트 개발 사업 부당하게 넘긴 SM그룹 계열사들 제재 절차 착수"
11,,06-22 11:47,3.0,경제,7,3,2,,,"오세훈 ""李정부, 세금 폭탄 말고 재건축·재개발 정상화해야"""
12,,06-22 11:47,3.0,경제,7,3,1,,,반도체장비 수주 3배 껑충… AI 투자 훈풍 확산 본격화 조짐
13,,06-22 11:47,3.0,사회,6,4,2,,,"인권위 간부 3번째 보직 반납…""안창호, 인권위 존재 가치 저버려"""
14,,06-22 11:17,3.5,사회,11,4,3,Y,Y,"[속보]정교유착 합수본, 이만희 신천지 총회장 구속영장 청구"
15,,06-22 11:17,3.5,사회,10,7,2,,,여고생 살해 뒤 미용실 간 장윤기… 재판부에 “수감 중 자격증 따겠다”
16,,06-22 11:17,3.5,정치,6,4,2,,,李 지지율 데드크로스…靑 “국민 걱정 세심히 살피겠다”
17,,06-22 11:17,3.5,사회,2,1,3,,Y,"부산서 승용차, 인도 보행자 덮쳐… 2명 숨지고 2명 다쳐"
18,,06-22 11:02,3.8,,7,5,1,,,"양재IC 정체 줄인다, 성남~서초 고속도로 2029년 착공"
19,,06-22 11:02,3.8,,6,3,1,,,후진 차량에 오토바이 ‘쓱’…고의사고로 억대 보험금 챙긴 2인조
20,,06-22 10:47,4.0,경제,6,2,0,,,"LG에너지솔루션, 글로벌 특허 10만건 돌파… 명품특허로 배터리 산업 성장 가속화한다"
21,,06-22 10:32,4.3,사회,7,6,2,,,"종합특검, ‘계엄 합수부 지원 논의’ 의혹 홍장원 3차 소환…혐의 부인"
22,,06-22 10:32,4.3,사회,6,6,2,,,"청소년 도박 이 정도였나…“빚 갚아줘” 모친 폭행, 고교 한 곳서 자진신고 48명"
23,,06-22 10:17,4.5,국제,6,7,2,,,"중국, 美 희토류·방산 정조준… 10곳 수출 통제·46곳 조달 금지"
24,,06-22 10:17,4.5,정치,5,5,2,,,"北, MDL 100m 안까지 철책 설치…합참 “명백한 정전협정 위반”"
25,,06-22 10:03,4.8,경제,5,3,0,,,"GS건설, 3조원 규모 신재생에너지 개발사업 착수"
26,,06-22 10:03,4.8,경제,5,4,0,,,"TV 부품·ESL 강자 ‘솔루엠’, AI 데이터센터 전력 시장 진출 확대…차세대 전력 솔루션 개발 추진"
27,,06-22 09:48,5.0,경제,14,4,1,,,"코스피, 미·이란 협상 진척 소식에 반등…9100선 회복"
28,,06-22 09:17,5.5,,8,6,2,,,"6월 1~20일 수출액 60%↑ 역대 최대, 반도체 수출은 2.9배로"
29,,06-22 09:17,5.5,,6,3,0,,,"다시 찾은 우승후보의 위엄…스페인, 사우디에 4골 폭격, 오야르사발 ‘원맨쇼’"
30,,06-22 09:17,5.5,,5,4,0,,,"달러 대비 원화 환율, 3.9원 오른 1530.9원에 개장"
31,,06-22 09:02,5.8,국제,15,6,2,,,"파키스탄 총리·군 수장, 美·이란 종전 후속 협상 위해 스위스로"
32,,06-22 08:47,6.0,국제,14,1,2,,,이란 “호르무즈 재봉쇄” vs 트럼프 “합의 불발시 美가 통행료 부과”
33,,06-22 08:47,6.0,,6,4,0,,,iM증권 “내년까지 반도체 호황 계속”…‘삼전닉스’ 목표가 20%대↑
34,,06-22 08:32,6.3,,14,1,2,,,이란 “호르무즈 재봉쇄” vs 트럼프 “합의 불발시 美가 통행료 부과”
35,,06-22 08:17,6.5,정치,9,8,2,,,李대통령 지지율 첫 데드크로스... 긍정평가 46.7 부정평가 49.7%
36,,06-22 08:17,6.5,경제,9,13,2,Y,,"[속보]한전, 연료비조정단가 ㎾h당 +5원 적용…17분기째 최대치 유지"
37,,06-22 08:02,6.8,국제,15,1,2,,,"트럼프 “美, 이란과 최종 합의 불발되면 호르무즈 통행료 부과할 수도”"
38,,06-22 07:47,7.0,사회,6,7,2,,,"대전서 음주운전 승용차, 중앙선 넘어 차량 2대와 충돌… 5명 부상"
39,,06-22 07:17,7.5,국제,3,6,2,Y,Y,[속보] 콜롬비아 대선 결선투표서 우파후보 에스프리에야 1위 득표
40,,06-22 06:32,8.3,국제,15,4,2,,,"이란 대표단, 美와 종전 후속 협상 위해 스위스 도착"
41,,06-22 06:32,8.3,사회,5,9,2,,,"옥상서 놀던 여중생, 옆 건물로 건너뛰다 추락해 중태"
42,,06-22 06:18,8.5,경제,14,14,2,,,시총 1위 위협하는 SK하이닉스…삼전의 98%까지 추격
43,,06-22 06:18,8.5,사회,12,8,3,Y,Y,"[속보] 법원 “박성재 전 법무장관, 내란 중요 임무 종사 혐의 인정”"
44,,06-22 06:18,8.5,,6,6,1,,,"스타벅스, 오늘 오후 3시 조기 영업종료…국내 진출 후 처음"
